cp,u,r,f_A,f_B,abs_dr_du
5.73333333,0.02500000,0.46420083,0.42990897,0.31627064,0.18755589
5.80000000,0.02500000,0.46081250,0.42645841,0.31281415,0.18618687
5.86666667,0.02500000,0.45747328,0.42306034,0.30942016,0.18483769
5.93333333,0.02500000,0.45418211,0.41971358,0.30608710,0.18350792
6.00000000,0.02500000,0.45093795,0.41641701,0.30281346,0.18219715
6.06666667,0.02500000,0.44773981,0.41316953,0.29959776,0.18090497
6.13333333,0.02500000,0.44458671,0.40997005,0.29643858,0.17963099
6.20000000,0.02500000,0.44147771,0.40681753,0.29333452,0.17837483
6.26666667,0.02500000,0.43841190,0.40371098,0.29028427,0.17713612
6.33333333,0.02500000,0.43538837,0.40064941,0.28728651,0.17591449
6.40000000,0.02500000,0.43240625,0.39763185,0.28433999,0.17470960
6.46666667,0.02500000,0.42946472,0.39465739,0.28144351,0.17352110
6.53333333,0.02500000,0.42656293,0.39172512,0.27859586,0.17234866
6.60000000,0.02500000,0.42370009,0.38883416,0.27579592,0.17119195
6.66666667,0.02500000,0.42087542,0.38598366,0.27304256,0.17005068
6.73333333,0.02500000,0.41808817,0.38317279,0.27033471,0.16892451
6.80000000,0.02500000,0.41533759,0.38040074,0.26767133,0.16781317
6.86666667,0.02500000,0.41262296,0.37766673,0.26505139,0.16671635
6.93333333,0.02500000,0.40994359,0.37496999,0.26247392,0.16563377
7.00000000,0.02500000,0.40729879,0.37230977,0.25993795,0.16456517
7.06666667,0.02500000,0.40468790,0.36968536,0.25744255,0.16351026
7.13333333,0.02500000,0.40211027,0.36709603,0.25498683,0.16246880
7.20000000,0.02500000,0.39956527,0.36454111,0.25256991,0.16144051
7.26666667,0.02500000,0.39705228,0.36201992,0.25019092,0.16042517
7.33333333,0.02500000,0.39457071,0.35953181,0.24784905,0.15942251
7.40000000,0.02500000,0.39211996,0.35707615,0.24554349,0.15843231
7.46666667,0.02500000,0.38969946,0.35465231,0.24327345,0.15745433
7.53333333,0.02500000,0.38730867,0.35225968,0.24103817,0.15648835
7.60000000,0.02500000,0.38494703,0.34989769,0.23883692,0.15553415
7.66666667,0.02500000,0.38261402,0.34756574,0.23666897,0.15459152
7.73333333,0.02500000,0.38030912,0.34526329,0.23453362,0.15366025
7.80000000,0.02500000,0.37803182,0.34298979,0.23243018,0.15274013
7.86666667,0.02500000,0.37578163,0.34074469,0.23035801,0.15183096
7.93333333,0.02500000,0.37355807,0.33852748,0.22831644,0.15093255
8.00000000,0.02500000,0.37136067,0.33633765,0.22630485,0.15004471
0.00000000,0.03750000,1.26903553,1.00000000,1.00000000,0.51534438
0.06666667,0.03750000,1.24415248,1.00000000,1.00000000,0.50523959
0.13333333,0.03750000,1.22022647,1.00000000,1.00000000,0.49552344
0.20000000,0.03750000,1.19720333,1.00000000,1.00000000,0.48617394
0.26666667,0.03750000,1.17503290,1.00000000,1.00000000,0.47717072
0.33333333,0.03750000,1.15366867,1.00000000,1.00000000,0.46849489
0.40000000,0.03750000,1.13306744,1.00000000,1.00000000,0.46012891
0.46666667,0.03750000,1.11318906,1.00000000,1.00000000,0.45205647
0.53333333,0.03750000,1.09399615,1.00000000,1.00000000,0.44426240
0.60000000,0.03750000,1.07545384,1.00000000,1.00000000,0.43673252
0.66666667,0.03750000,1.05752961,1.00000000,1.00000000,0.42945365
0.73333333,0.03750000,1.04019306,1.00000000,1.00000000,0.42241343
0.80000000,0.03750000,1.02341575,1.00000000,1.00000000,0.41560031
0.86666667,0.03750000,1.00717106,1.00000000,1.00000000,0.40900348
0.93333333,0.03750000,0.99143401,0.99058146,0.98717857,0.40261280
1.00000000,0.03750000,0.97618118,0.97383073,0.96448537,0.39641875
1.06666667,0.03750000,0.96139056,0.95761257,0.94264849,0.39041241
1.13333333,0.03750000,0.94704144,0.94190235,0.92162336,0.38458536
1.20000000,0.03750000,0.93311436,0.92667695,0.90136836,0.37892969
1.26666667,0.03750000,0.91959097,0.91191459,0.88184457,0.37343796
1.33333333,0.03750000,0.90645395,0.89759479,0.86301555,0.36810313
1.40000000,0.03750000,0.89368700,0.88369822,0.84484718,0.36291858
1.46666667,0.03750000,0.88127468,0.87020669,0.82730745,0.35787804
